_id: 643eae5e077163fc3655ce9a, name: 부평국민체육센터
_id: 643eae5e077163fc3655cea3, name: 중구국민체육센터
_id: 643eae5e077163fc3655ceaa, name: 동해시근로자종합복지회관 수영장
_id: 643eae5e077163fc3655ceb2, name: 인제 하늘내린센터
_id: 643eae5e077163fc3655ceb3, name: 홍천국민체육센터
_id: 643eae5e077163fc3655cec2, name: 남선공원
_id: 643eae5e077163fc3655ced9, name: 송악문화스포츠센터
_id: 643eae5e077163fc3655cee0, name: 부여학생수영장
_id: 643eae5e077163fc3655cee7, name: 단양 청소년수련관 수영장
_id: 643eae5e077163fc3655ceee, name: 충북 곰두리체육관
_id: 643eae5e077163fc3655cef0, name: 충북 체육회관 수영장
_id: 643eae5e077163fc3655cef7, name: 명지레포츠센터
_id: 643eae5e077163fc3655cef9, name: 부산지방공단 스포원
_id: 643eae5e077163fc3655cf05, name: 부산 사직종합운동장 실내수영장
_id: 643eae5e077163fc3655cf09, name: 부산서구스포츠클럽
_id: 643eae5e077163fc3655cf0d, name: 부산국민체육센터
_id: 643eae5e077163fc3655cf12, name: 울산대공원 아쿠아시스
_id: 643eae5e077163fc3655cf1b, name: 김해 시민스포츠센터
_id: 643eae5e077163fc3655cf3b, name: 산양수영장
_id: 643eae5e077163fc3655cf3e, name: 구미 근로자종합복지회관
_id: 643eae5e077163fc3655cf4e, name: 의성청소년센터
_id: 643eae5e077163fc3655cf4f, name: 의성국민체육센터
_id: 643eae5e077163fc3655cf53, name: 칠곡 교육문화회관 수영장
_id: 643eae5e077163fc3655cf6c, name: 북구 건강복지타운 (우산수영장)
_id: 643eae5e077163fc3655cf72, name: 광양수영장
_id: 643eae5e077163fc3655cf6d, name: 강진국민체육센터
_id: 643eae5e077163fc3655cf6e, name: 광주장애인종합복지관
_id: 643eae5e077163fc3655cf6f, name: 염주실내수영장
_id: 643eae5e077163fc3655cf70, name: 고흥종합문화회관
_id: 643eae5e077163fc3655cf7b, name: 망마국민체육센터
_id: 643eae5e077163fc3655cf7f, name: 전남교육문화회관 수영장
_id: 643eae5e077163fc3655cf82, name: 장흥국민체육센터
_id: 643eae5e077163fc3655cf88, name: 우슬국민체육센터
_id: 643eae5e077163fc3655cf89, name: 남원국민체육센터
_id: 643eae5e077163fc3655cf98, name: 장수 한누리 수영장
_id: 643eae5e077163fc3655cf99, name: 임실국민체육센터
_id: 645f25de3b0b92b6522cc409, name: 에덴스포츠타운
_id: 64ae4f7a4d530437ed60058c, name: 서브마린수영장 경기광주점
_id: 64ae4f7a4d530437ed600593, name: 성남YMCA LH스포츠센터
_id: 64ae4f7a4d530437ed600595, name: 코오롱스포렉스 분당점
_id: 64ae4f7a4d530437ed60059a, name: 라이프스포츠수원
_id: 64ae4f7a4d530437ed60059b, name: 버드내노인복지관
_id: 64ae4f7a4d530437ed6005a0, name: 한샘레포츠타운 산업단지
_id: 64ae4f7a4d530437ed6005a5, name: 트윈스포츠센터
_id: 64ae4f7a4d530437ed6005a6, name: 아쿠아온 시흥플랑드르
_id: 64ae4f7a4d530437ed6005b1, name: 송도아쿠아틱센터
_id: 64ae4f7a4d530437ed6005c8, name: 유성구장애인종합복지관
_id: 64ae4f7a4d530437ed6005cb, name: 삼부스포렉스수영장
_id: 64ae4f7a4d530437ed6005cf, name: 정부세종청사체육관
_id: 64ae4f7a4d530437ed6005d0, name: 서산학생수영장
_id: 64ae4f7a4d530437ed6005d1, name: 경희한얼수영장
_id: 64ae4f7a4d530437ed6005d5, name: 아쿠아레나
_id: 64ae4f7a4d530437ed6005df, name: G Sports Complex
_id: 64ae4f7a4d530437ed6005e9, name: 성황스포츠센터 수영장
_id: 64ae4f7a4d530437ed6005ef, name: 거제도해수보양온천
_id: 64ae4f7a4d530437ed6005f3, name: 장유스포츠센터
_id: 64ae4f7a4d530437ed600602, name: 푸르뫼스포츠센터
_id: 64ae4f7a4d530437ed600603, name: 더퍼스트 수영장
_id: 64ae4f7a4d530437ed60060b, name: 안동대학교 종합스포츠센터
_id: 64ae4f7a4d530437ed600614, name: 선스포츠프라자
_id: 64ae4f7a4d530437ed600616, name: 라온휘트니스
_id: 64ae4f7a4d530437ed60061d, name: 광주체육고등학교 수영장
_id: 64ae4f7a4d530437ed60061f, name: 광주학생교육문화회관 수영장
_id: 64ae4f7a4d530437ed600621, name: 만성시티 피트니스센터
_id: 643eae5e077163fc3655cf95, name: 완주청소년수련관
_id: 643eae5e077163fc3655cfa6, name: 서귀포홍리실내수영장
_id: 645f25de3b0b92b6522cc3ff, name: 클래스윔 서면초량점
_id: 645f25de3b0b92b6522cc402, name: 경성대학교 스포츠센터
_id: 64ae4f7a4d530437ed60058d, name: 광주 SRC 스포츠센터
_id: 64ae4f7a4d530437ed600590, name: 신안웰리스 스포츠센터
_id: 64ae4f7a4d530437ed600592, name: 부천 W휘트니스
_id: 64ae4f7a4d530437ed600594, name: 패밀리스포츠센터
_id: 64ae4f7a4d530437ed600598, name: 서호노인복지관
_id: 64ae4f7a4d530437ed60059e, name: 하이츠스포츠센터
_id: 64ae4f7a4d530437ed6005a2, name: 메인스포츠클럽
_id: 64ae4f7a4d530437ed6005a3, name: 석천스포츠
_id: 64ae4f7a4d530437ed6005a7, name: 포천 강남스포렉스
_id: 64ae4f7a4d530437ed6005a9, name: 진명스포아트
_id: 64ae4f7a4d530437ed6005ac, name: 인천북부문화체육센터
_id: 64ae4f7a4d530437ed6005b0, name: 송도 박태환수영장
_id: 64ae4f7a4d530437ed6005c0, name: 한림대학교 한림레크레이션센터
_id: 64ae4f7a4d530437ed6005c3, name: 추목수영장
_id: 64ae4f7a4d530437ed6005c5, name: J스위밍센터
_id: 64ae4f7a4d530437ed6005c6, name: 사이언스도룡스포츠센터
_id: 64ae4f7a4d530437ed6005c7, name: 연세대학교 미래캠퍼스연세스포츠센터
_id: 64ae4f7a4d530437ed6005d2, name: 오션수영장
_id: 64ae4f7a4d530437ed6005d3, name: 천안 음파음파 수영장
_id: 64ae4f7a4d530437ed6005d7, name: 충청북도 학생수영장
_id: 64ae4f7a4d530437ed6005e0, name: 신나는사상스포츠클럽
_id: 64ae4f7a4d530437ed6005e7, name: 유니스트 스포츠센터
_id: 64ae4f7a4d530437ed6005ea, name: 울주군 국민체육센터
_id: 64ae4f7a4d530437ed6005eb, name: KBS목포88체육관
_id: 64ae4f7a4d530437ed6005f2, name: 더포라스위츠 스포츠센터
_id: 64ae4f7a4d530437ed60060c, name: 대봉수영장
_id: 64ae4f7a4d530437ed600615, name: 송림스포츠프라자
_id: 64ae4f7a4d530437ed600619, name: 트럼프스포츠
_id: 64ae4f7a4d530437ed600624, name: 광주북구반다비체육센터
_id: 666bda24f7000e167fabcbc0, name: 비타스위밍

Total documents with no file extension: 319
